,LINE_NUM,QTY,common_index
80,"CS2SA1-6""-ALV-1-5-001",1,"CS2SA1 DBBM 2"" - MFV21A0I2I"
108,"CS2SA1-6""-ALV-1-5-004",1,"CS2SA1 DBBM 2"" - MFV21A0I2I"
120,"CS2SA1-6""-ALV-1-5-005",2,"CS2SA1 DBBM 2"" - MFV21A0I2I"
133,"CS2SA1-6""-ALV-1-5-010",3,"CS2SA1 DBBM 2"" - MFV21A0I2I"
153,"CS5SA1-6""-ALV-1-5-002",2,"CS2SA1 DBBM 2"" - MFV21A0I2I"
158,"CS5SA1-6""-ALV-1-5-002",1,"CS5SA1 BAL 2"" - BAV26A0I1C"
176,"CS5SA1-6""-ALV-1-5-005",1,"CS5SA1 BAL 2"" - BAV26A0I1C"
197,"CS5SA1-6""-ALV-1-5-011",1,"CS2SA1 DBBM 2"" - MFV21A0I2I"
