,LINE_NUM,QTY,common_index
159,"CS1SC2-6""-SCI-1-7-149",1,"CS1SC2 RTE 14"" 6"" -"
163,"CS1SC2-6""-SCI-1-7-157",1,"CS1SC2 GAT 6"" - -"
187,"CS1SC2-6""-SCI-1-7-163",2,"CS1SC2 GAT 6"" - -"
207,"CS1SC2-6""-SCI-1-7-164",2,"CS1SC2 GAT 6"" - -"
