RATING,DIAMETER,DIAMETER_NUMBER,FACE,QUANTITY,BOLT_DIAMETER,BOLT_DIAM_NUM,BOLT_LENGTH,BOLT_WEIGHT
600,"16""",16,RTJ,20,"1-1/2""",1.5,255,3.185
900,"14""",14,RF,20,"1-1/2""",1.5,275,3.345
900,"14""",14,RTJ,20,"1-1/2""",1.5,280,3.385
2500,"4""",4,RF,8,"1-1/2""",1.5,255,3.185
2500,"4""",4,RTJ,8,"1-1/2""",1.5,260,3.225
300,"24""",24,RF,24,"1-5/8""",1.625,230,3.656
300,"24""",24,RTJ,24,"1-5/8""",1.625,255,3.893
600,"18""",18,RF,20,"1-5/8""",1.625,275,4.083
600,"20""",20,RF,24,"1-5/8""",1.625,285,4.178
600,"18""",18,RTJ,20,"1-5/8""",1.625,275,4.083
600,"20""",20,RTJ,24,"1-5/8""",1.625,290,4.225
900,"16""",16,RF,20,"1-5/8""",1.625,285,4.178
900,"16""",16,RTJ,20,"1-5/8""",1.625,290,4.225
1500,"8""",8,RF,12,"1-5/8""",1.625,290,4.225
1500,"8""",8,RTJ,12,"1-5/8""",1.625,325,4.557
600,"24""",24,RF,24,"1-7/8""",1.875,330,6.414
600,"24""",24,RTJ,24,"1-7/8""",1.875,335,6.478
900,"18""",18,RF,20,"1-7/8""",1.875,325,6.35
900,"18""",18,RTJ,20,"1-7/8""",1.875,335,6.478
1500,"10""",10,RF,12,"1-7/8""",1.875,335,6.478
1500,"10""",10,RTJ,12,"1-7/8""",1.875,345,6.606
900,"20""",20,RF,20,"2""",2,350,7.774
900,"20""",20,RTJ,20,"2""",2,360,7.92
1500,"12""",12,RF,16,"2""",2,375,8.139
1500,"12""",12,RTJ,16,"2""",2,385,8.285
2500,"6""",6,RF,8,"2""",2,345,7.701
2500,"8""",8,RF,12,"2""",2,380,8.212
2500,"6""",6,RTJ,8,"2""",2,355,7.847
2500,"8""",8,RTJ,12,"2""",2,395,8.431
1500,"14""",14,RF,16,"2-1/4""",2.25,405,11.306
