RATING,DIAMETER,DIAMETER_NUMBER,FACE,QUANTITY,BOLT_DIAMETER,BOLT_DIAM_NUM,BOLT_LENGTH,BOLT_WEIGHT
150,"20""",20,RTJ,20,"1-1/8""",1.125,185,0.373
150,"24""",24,RTJ,20,"1-3/8""",1.375,195,0.391
300,"1/2""",0.5,RF,4,"1/2""",0.5,75,0.391
300,"3/4""",0.75,RF,4,"5/8""",0.625,85,0.401
300,"1""",1,RF,4,"5/8""",0.625,90,0.401
300,"1-1/2""",1.5,RF,4,"3/4""",0.75,100,0.401
300,"2""",2,RF,8,"5/8""",0.625,95,0.401
300,"3""",3,RF,8,"3/4""",0.75,120,0.41
300,"4""",4,RF,8,"3/4""",0.75,125,0.41
300,"6""",6,RF,12,"3/4""",0.75,135,0.41
300,"8""",8,RF,12,"7/8""",0.875,150,0.41
300,"10""",10,RF,16,"1""",1,170,0.41
300,"12""",12,RF,16,"1-1/8""",1.125,185,0.41
300,"14""",14,RF,20,"1-1/8""",1.125,190,0.41
300,"16""",16,RF,20,"1-3/8""",1.375,205,0.42
300,"18""",18,RF,24,"1-3/8""",1.375,210,0.42
300,"20""",20,RF,24,"1-3/8""",1.375,220,0.42
300,"24""",24,RF,24,"1-5/8""",1.625,250,0.42
300,"1/2""",0.5,RTJ,4,"1/2""",0.5,85,0.438
300,"3/4""",0.75,RTJ,4,"5/8""",0.625,95,0.438
300,"1""",1,RTJ,4,"5/8""",0.625,95,0.438
300,"1-1/2""",1.5,RTJ,4,"3/4""",0.75,115,0.438
300,"2""",2,RTJ,8,"5/8""",0.625,110,0.448
300,"3""",3,RTJ,8,"3/4""",0.75,135,0.448
300,"4""",4,RTJ,8,"3/4""",0.75,140,0.448
300,"6""",6,RTJ,12,"3/4""",0.75,145,0.448
300,"8""",8,RTJ,12,"7/8""",0.875,165,0.448
300,"10""",10,RTJ,16,"1""",1,185,0.457
300,"12""",12,RTJ,16,"1-1/8""",1.125,195,0.592
300,"14""",14,RTJ,20,"1-1/8""",1.125,205,0.592
300,"16""",16,RTJ,20,"1-3/8""",1.375,215,0.592
300,"18""",18,RTJ,24,"1-3/8""",1.375,220,0.617
300,"20""",20,RTJ,24,"1-3/8""",1.375,235,0.63
300,"24""",24,RTJ,24,"1-5/8""",1.625,265,0.63
600,"1/2""",0.5,RF,4,"1/2""",0.5,90,0.63
600,"3/4""",0.75,RF,4,"5/8""",0.625,95,0.63
600,"1""",1,RF,4,"5/8""",0.625,100,0.643
600,"1-1/2""",1.5,RF,4,"3/4""",0.75,120,0.643
600,"2""",2,RF,8,"5/8""",0.625,115,0.656
600,"3""",3,RF,8,"3/4""",0.75,140,0.656
600,"4""",4,RF,8,"7/8""",0.875,160,0.656
600,"6""",6,RF,12,"1""",1,185,0.681
600,"8""",8,RF,12,"1-1/8""",1.125,210,0.681
600,"10""",10,RF,16,"1-1/4""",1.25,230,0.681
600,"12""",12,RF,20,"1-1/4""",1.25,235,0.681
600,"14""",14,RF,20,"1-3/8""",1.375,250,0.681
600,"16""",16,RF,20,"1-1/2""",1.5,265,0.681
600,"18""",18,RF,20,"1-5/8""",1.625,285,0.694
600,"20""",20,RF,24,"1-5/8""",1.625,305,0.856
600,"24""",24,RF,24,"1-7/8""",1.875,335,0.856
600,"1/2""",0.5,RTJ,4,"1/2""",0.5,85,0.873
600,"3/4""",0.75,RTJ,4,"5/8""",0.625,95,0.89
600,"1""",1,RTJ,4,"5/8""",0.625,100,0.89
600,"1-1/2""",1.5,RTJ,4,"3/4""",0.75,120,0.89
600,"2""",2,RTJ,8,"5/8""",0.625,120,0.923
600,"3""",3,RTJ,8,"3/4""",0.75,140,0.923
600,"4""",4,RTJ,8,"7/8""",0.875,160,0.957
600,"6""",6,RTJ,12,"1""",1,190,1.007
600,"8""",8,RTJ,12,"1-1/8""",1.125,210,1.007
600,"10""",10,RTJ,16,"1-1/4""",1.25,235,1.024
600,"12""",12,RTJ,20,"1-1/4""",1.25,240,1.024
600,"14""",14,RTJ,20,"1-3/8""",1.375,255,1.041
600,"16""",16,RTJ,20,"1-1/2""",1.5,275,1.245
600,"18""",18,RTJ,20,"1-5/8""",1.625,290,1.266
600,"20""",20,RTJ,24,"1-5/8""",1.625,305,1.266
600,"24""",24,RTJ,24,"1-7/8""",1.875,350,1.331
900,"1/2""",0.5,RF,4,"3/4""",0.75,110,1.331
900,"3/4""",0.75,RF,4,"3/4""",0.75,115,1.331
900,"1""",1,RF,4,"7/8""",0.875,125,1.331
900,"1-1/2""",1.5,RF,4,"1""",1,140,1.353
900,"2""",2,RF,8,"7/8""",0.875,145,1.353
900,"3""",3,RF,8,"7/8""",0.875,160,1.353
900,"4""",4,RF,8,"1-1/8""",1.125,185,1.353
900,"6""",6,RF,12,"1-1/8""",1.125,210,1.374
900,"8""",8,RF,12,"1-3/8""",1.375,235,1.374
900,"10""",10,RF,16,"1-3/8""",1.375,250,1.418
900,"12""",12,RF,20,"1-3/8""",1.375,265,1.439
900,"14""",14,RF,20,"1-1/2""",1.5,285,1.439
